Date,CAPEX,ALUA,BBAR,BYMA,CEPU,COME,CRES,CVH,EDN,GGAL,HARG,MIRG,PAMP,SUPV,TECO2,TGNO4,TGSU2,TRAN,TXAR,YPFD,AGRO,AUSO,BHIP,BOLT,BPAT,CADO,CELU,CGPA2,DGCU2,DYCA,FERR,FIPL,GARO,GBAN,GCLA,GRIM,HAVA ,INVJ,IRSA,LEDE,LONG,METR,MOLA,MOLI,MORI,OEST,PATA,POLL,RIGO,SAMI,SEMI,CECO2,CTIO,INTR,LOMA,ROSE,IRCP
2012-01-03,3.950573,1.714599,6.759927,0.0,0.132774,0.211684,3.801518,0.0,1.400000,2.548741,0.868402,20.561653,1.930000,0.0,12.021204,0.727181,1.746679,0.914632,1.715642,157.134827,0.378740,0.463320,1.385191,0.262452,1.754785,1.931818,3.800000,1.052326,2.121337,5.790674,0.226375,1.146640,1.057649,3.200000,1.664752,1.397935,0.0,1.64,3.212937,5.849162,0.531177,0.680000,0.0,19.898581,3.443420,0.679014,2.236041,3.330541,11.913404,5.241595,0.328829,2.169513,2.198920,0.772987,0.0,1.090000,14.30
2012-01-04,3.950573,1.925627,7.464599,0.0,0.135117,0.209948,3.907116,0.0,1.500000,2.830096,0.840389,20.561653,2.080000,0.0,12.606763,0.770466,1.790979,0.961536,1.715642,157.134827,0.373552,0.463320,1.493833,0.276156,1.832528,1.953047,4.050000,1.071459,2.121337,5.790674,0.231191,1.167116,1.082535,3.200000,1.705903,1.416826,0.0,1.7,3.226051,5.818131,0.531177,0.725000,0.0,20.104427,3.557615,0.679014,2.236041,3.330541,11.913404,5.125115,0.328829,2.184579,2.198920,0.772987,0.0,1.110000,14.30
2012-01-05,3.950573,1.965195,7.702221,0.0,0.138241,0.209948,3.871917,0.0,1.520000,2.854922,0.821713,21.371168,2.080000,0.0,12.572318,0.805094,1.847936,0.969354,1.715642,157.134827,0.368364,0.468526,1.502887,0.271360,1.860294,1.953047,4.220000,1.100159,2.121337,5.790674,0.250457,1.187592,1.082535,3.200000,1.758278,1.416826,0.0,1.7,3.212937,5.616436,0.557735,0.690000,0.0,20.104427,3.215030,0.720167,2.236041,3.661648,11.913404,4.938747,0.341026,2.222244,2.198920,0.772987,0.0,1.120000,14.30
2012-01-06,3.860787,1.965195,8.079138,0.0,0.138241,0.210990,3.871917,0.0,1.650000,2.962499,0.803038,22.342590,2.110000,0.0,12.675653,0.831064,1.860593,1.016258,1.715642,162.814407,0.378740,0.484143,1.557208,0.267248,1.860294,1.961538,4.330000,1.128859,2.121337,5.790674,0.260090,1.187592,1.082535,3.200000,1.842450,1.549063,0.0,1.72,3.245722,5.507831,0.557735,0.825000,0.0,20.790586,3.381930,0.716051,2.236041,3.700601,11.913404,5.125115,0.341026,2.252376,2.198920,0.772987,0.0,1.150000,14.30
2012-01-09,3.995465,1.938817,8.070943,0.0,0.138241,0.207172,3.801518,0.0,1.650000,2.962499,0.793701,22.488302,2.150000,0.0,12.537874,0.822407,1.860593,1.008440,1.715642,165.180878,0.373552,0.484143,1.584368,0.256969,1.915825,2.016733,4.270000,1.147992,2.121337,5.837752,0.265870,1.187592,1.082535,3.200000,1.851803,1.549063,0.0,1.72,3.193266,5.492316,0.568359,0.900000,0.0,20.584740,3.153540,0.716051,2.236041,3.895370,11.913404,5.218299,0.341026,2.252376,2.198920,0.772987,0.0,1.150000,13.43
2012-01-10,4.085251,1.945411,8.152883,0.0,0.138241,0.209948,3.801518,0.0,1.620000,3.020424,0.784363,22.536871,2.140000,0.0,13.088990,0.818079,1.854265,0.984988,1.715642,166.127472,0.388079,0.468526,1.638690,0.250117,1.949144,2.037961,4.250000,1.147992,2.121337,5.922494,0.250457,1.187592,1.094978,3.200000,1.851803,1.549063,0.0,1.72,3.147367,5.368196,0.557735,0.850000,0.0,20.516123,3.153540,0.716051,2.236041,3.895370,12.091219,5.299835,0.341026,2.327706,2.198920,0.772987,0.0,1.150000,13.43
2012-01-11,4.040359,1.945411,8.152883,0.0,0.138241,0.209948,3.752239,0.0,1.620000,3.020424,0.793701,22.634014,2.140000,0.0,13.088990,0.796437,1.835279,0.984988,1.715642,166.127472,0.394304,0.499761,1.638690,0.242579,1.949144,2.080420,4.380000,1.147992,2.121337,5.922494,0.250457,1.160290,1.104932,3.200000,1.851803,1.549063,0.0,1.69,3.180152,5.368196,0.531177,0.870000,0.0,20.516123,3.153540,0.716051,2.236041,3.700601,12.091219,5.299835,0.332500,2.267442,2.198920,0.772987,0.0,1.170000,13.51
2012-01-12,4.040359,1.925627,8.029974,0.0,0.143708,0.206479,3.766319,0.0,1.570000,2.929398,0.793701,23.314003,2.120000,0.0,13.536771,0.796437,1.835279,0.984988,1.715642,166.127472,0.389116,0.520584,1.584368,0.250117,1.971355,2.080420,4.400000,1.128859,2.121337,5.931910,0.250457,1.160290,1.114886,3.200000,1.851803,1.552841,0.0,1.66,3.245722,5.391468,0.557735,0.800000,0.0,19.761351,3.153540,0.724282,2.236041,3.895370,12.091219,5.381371,0.332500,2.395504,2.198920,0.772987,0.0,1.170000,13.51
2012-01-13,3.815894,1.905844,7.710415,0.0,0.142536,0.204396,3.836718,0.0,1.530000,2.846646,0.775025,22.990196,2.090000,0.0,13.123434,0.770466,1.803636,0.977171,1.715642,161.962463,0.389116,0.520584,1.539101,0.251487,1.943590,2.080420,4.300000,1.128859,2.163764,5.931910,0.250457,1.146640,1.070092,3.200000,1.889213,1.552841,0.0,1.66,3.212937,5.334416,0.557735,0.880000,0.0,19.212423,3.153540,0.724282,2.236041,3.700601,12.091219,5.358075,0.327384,2.395504,2.198920,0.772987,0.0,1.170000,13.51
2012-01-16,3.950573,1.958601,7.620283,0.0,0.140584,0.204049,3.836718,0.0,1.560000,2.879747,0.775025,23.152100,2.090000,0.0,12.951211,0.770466,1.803636,0.977171,1.715642,155.714951,0.388079,0.520584,1.530047,0.250802,1.965803,2.080420,4.300000,1.128859,2.163764,6.214382,0.250457,1.160290,1.045206,3.200000,1.889213,1.511281,0.0,1.68,3.075240,5.373640,0.539144,0.895000,0.0,19.418272,3.443420,0.724282,2.276696,3.700601,12.091219,5.358075,0.341026,2.425636,2.198920,0.772987,0.0,1.150000,13.51
